#Cfactor 0.0292987876
Recipient Pop1 Pop2 Pop3 Pop4 Pop5 Pop6 Pop7 Pop8 Pop9 Pop11 Pop12 Pop13
Pop2_28 931.784778 3269.39598 3991.98934 2364.98096 943.198217 3887.80101 958.793437 3525.7339 3519.34387 3490.96288 2606.05716 556.051005
Pop2_29 928.556874 3269.2707 3980.65249 2365.33031 945.357564 3881.54391 960.206833 3527.47539 3522.26942 3490.80234 2604.30149 552.255602
Pop2_30 924.719278 3285.48811 4002.46353 2359.13867 943.250193 3869.11199 959.961517 3511.81838 3508.8643 3512.80199 2620.77998 551.005196
Pop2_31 929.171143 3269.31936 4001.55283 2359.97359 943.975294 3888.11385 963.696174 3513.12182 3513.00083 3489.52431 2605.38142 553.55336
Pop2_32 933.013491 3273.79646 4017.43383 2358.21258 943.478917 3889.57486 965.594585 3512.73104 3514.77788 3479.0168 2602.06031 551.125455
Pop2_33 927.514593 3285.92697 4003.12835 2365.23764 943.069571 3880.28952 960.563258 3504.00386 3497.10756 3481.23703 2607.79536 551.873776
Pop2_34 929.737007 3273.52287 4003.14951 2367.20606 946.059341 3874.74681 961.019711 3527.84389 3524.0006 3503.12512 2615.3327 549.332911
Pop2_35 928.437077 3274.48944 3997.85662 2356.44921 947.853918 3881.09796 958.347729 3513.62819 3520.38202 3499.03731 2617.94645 552.447874
Pop2_36 928.367041 3278.20978 4004.20262 2361.62312 946.371349 3886.9935 966.290626 3518.18359 3507.11397 3490.01408 2610.16699 552.026567
Pop2_37 925.088988 3273.11788 3992.40717 2368.53626 945.315289 3883.5288 971.724212 3522.84681 3520.08662 3487.55519 2595.01437 554.050928
Pop2_38 923.541903 3284.45475 4013.29944 2356.85016 944.286896 3885.66377 963.059007 3509.03408 3514.1703 3479.74505 2602.28896 551.083127
Pop2_39 931.484889 3284.27824 4003.05067 2361.18202 943.865782 3878.77533 963.661457 3502.05935 3509.14427 3483.65293 2607.11208 554.724302
Pop2_40 929.454994 3269.99559 4019.17613 2361.65904 945.189386 3884.99947 965.673869 3511.83293 3514.40583 3481.87471 2608.57391 554.147081
Pop2_41 931.504719 3270.50709 3995.63727 2358.15259 950.173213 3899.7663 965.342592 3512.1424 3515.92525 3472.10547 2593.96851 555.748656
Pop2_42 926.158252 3288.07825 3993.06192 2370.51856 942.319109 3874.78898 960.328045 3521.12151 3527.79007 3487.25081 2596.80019 552.344552
Pop2_43 930.843767 3274.62817 3982.52081 2363.86481 945.193129 3876.70683 962.313278 3517.26783 3518.7365 3481.22078 2606.26654 556.067577
Pop2_44 930.312525 3281.26823 4004.53904 2359.09742 943.952315 3879.85643 962.625079 3511.05246 3517.04753 3483.45855 2605.36099 552.534487
Pop2_45 931.333372 3279.58866 4006.22948 2362.62774 946.580359 3885.23813 963.82317 3525.17069 3521.65601 3480.15037 2604.91043 556.633018
Pop2_46 923.437998 3289.31534 4010.61064 2371.6636 945.74511 3884.00779 961.028808 3513.47093 3508.72765 3488.61499 2608.72089 554.41203
Pop2_47 928.788442 3271.40592 4003.97186 2363.29493 946.192838 3879.92543 966.167005 3514.37224 3514.59817 3487.30632 2605.21681 554.37218
Pop2_48 927.61322 3261.59413 4003.9051 2357.37732 942.802892 3874.44304 959.844978 3526.0263 3519.70219 3494.16126 2612.59099 551.833106
Pop2_49 929.693389 3278.78244 4000.72193 2374.89712 947.535673 3890.41916 964.893567 3513.46728 3507.33474 3471.10419 2597.5117 553.868223
Pop2_50 924.967814 3281.49661 3998.89367 2353.67484 942.947306 3880.79807 961.41531 3526.73211 3524.92885 3502.07467 2611.73219 553.826037
Pop2_51 933.878885 3260.604 3996.75223 2361.97235 942.097519 3885.56276 967.304272 3523.49766 3520.76375 3482.36099 2607.24726 554.593647
Pop2_52 927.346362 3288.32847 4001.42744 2368.0042 944.149402 3889.91935 967.424192 3505.05589 3507.01183 3489.38916 2601.91537 552.943434
Pop2_53 930.846409 3285.32169 4000.69854 2372.56308 945.503104 3891.89223 966.069564 3512.75979 3514.9708 3483.14689 2608.30605 555.114674
Pop2_54 931.659525 3278.79608 3991.12956 2362.58674 948.581071 3869.32195 961.421636 3499.66453 3498.29963 3510.20622 2624.13267 552.680166
Pop2_55 931.851724 3288.43395 4003.50112 2367.09647 944.06055 3882.68922 964.17054 3504.71393 3501.91851 3490.23967 2607.7318 552.115705
Pop2_56 928.723174 3286.37455 4003.90898 2365.57478 947.806251 3880.14993 964.182405 3500.02449 3498.17278 3490.41526 2607.54685 553.580315
Pop2_57 928.319043 3289.58732 4006.88628 2364.26608 948.003511 3888.40567 966.435521 3502.48799 3504.65046 3471.02344 2595.69336 553.450541
Pop2_58 930.866386 3279.04173 3991.58034 2362.24293 944.411754 3877.26671 965.728416 3524.2243 3515.856 3491.58375 2612.59007 554.594407
Pop2_59 930.100311 3294.14644 4012.43834 2360.43597 946.792442 3877.7045 962.337361 3510.99961 3508.57875 3490.29748 2604.03405 551.014474
Pop2_60 928.931194 3277.32854 3993.36184 2370.43036 942.033617 3869.14158 959.572584 3517.52347 3516.68117 3492.5784 2611.92251 553.969829
Pop2_61 933.295303 3271.92966 3988.84059 2367.3238 947.209391 3893.57821 960.901117 3519.99903 3510.01977 3486.3142 2608.04845 553.613657
Pop2_62 933.675821 3279.89107 3992.28054 2361.4387 947.914107 3884.16148 964.424888 3508.34531 3504.23544 3489.80913 2609.24128 554.344385
Pop2_63 931.095588 3278.28666 3984.99616 2364.42137 945.531444 3872.17837 956.952621 3513.12865 3512.69599 3496.87835 2609.85553 553.038178
Pop2_64 929.227744 3279.06316 3999.79773 2360.0372 945.531906 3887.98858 964.931747 3504.82691 3504.30886 3489.42611 2607.66943 551.928139
Pop2_65 926.447677 3283.22851 4000.56676 2364.53687 944.901955 3871.56642 966.350516 3504.96476 3501.46374 3477.69656 2592.2242 552.703392
Pop2_66 932.845166 3277.41291 3989.19792 2368.07883 943.973875 3886.64712 965.829154 3509.67227 3507.38087 3489.13477 2604.56663 556.664066
Pop2_67 932.789452 3276.64784 4002.71939 2368.51994 946.766545 3889.18651 965.539279 3509.46423 3511.53722 3479.66231 2601.78548 550.89973
Pop2_68 931.356441 3269.29944 3996.79041 2366.66692 943.987356 3890.01654 964.183552 3518.60204 3511.41597 3488.15417 2608.13326 556.952356
Pop2_69 930.151682 3273.17998 4003.71294 2359.89039 945.520217 3878.8481 967.495131 3511.47314 3506.3381 3495.67818 2611.59365 553.927007
Pop2_70 928.273153 3264.57757 3992.26623 2362.75129 943.541829 3877.0426 967.550856 3519.10365 3516.51344 3509.22028 2619.59225 554.277732
Pop2_71 936.7737 3280.50823 4000.68638 2375.28585 945.031277 3881.83522 967.603 3504.71794 3511.0966 3485.73843 2601.30346 553.121464
Pop2_72 919.623326 3274.31396 3990.24739 2354.6249 945.687948 3883.02981 966.319651 3512.93764 3510.66235 3494.02043 2616.76444 550.205551
Pop2_73 933.63778 3272.71598 3989.69898 2364.18438 944.447047 3885.84251 962.928502 3520.85705 3518.84057 3497.8907 2614.75248 549.561804
Pop2_74 924.380522 3283.1259 4001.85231 2357.74717 946.594819 3882.84852 965.070753 3512.44508 3507.5767 3490.85454 2610.76206 554.158299
Pop2_75 935.101284 3275.65001 4004.38979 2360.6804 945.379168 3883.94929 968.277145 3515.83458 3512.75699 3482.13391 2607.98148 551.079285
Pop3_1 932.507412 3146.49219 4151.13549 2354.71971 942.836156 3880.59194 961.879234 3514.56502 3512.34055 3493.80248 2609.57564 553.615121
